Species_common,TFA_min,MaxN
Flat_periwinkle,0,1
Golden_grey_mullet,18.08,100
Common_shore_crab,22.58,2
Two_spotted_goby,25.62,10
Ballan_wrasse,35.93,1
Sea_stickleback,35.72,1
Sand_goby,38.17,1
Little_squid,40.13,1
Golden_grey_mullet,4.55,3
Sand_goby,5.97,5
Transparent_goby,66.9,100
Common_prawn ,8.67,1
Bullhead,13.28,1
Common_goby,25.08,4
Flatfish,56.83,1
Common_shrimp,64.33,1
Sand_smelt,8.45,1
Two_spotted_goby,13.5,2
Common_shore_crab,21.9,1
Sand_goby,24.25,1
Common_shore_crab,6.12,2
Common_prawn ,45,1
Common_goby,16.2,3
Two_spotted_goby,47.88,12
Sand_goby,43.13,1
Bullhead,48.1,1
Common_shore_crab,5.17,4
Two_spotted_goby,9.18,5
Sand_goby,45.17,1
Ballan_wrasse,53.67,1
Common_shore_crab,10.5,1
Sea_stickleback,28.32,1
Ballan_wrasse,31.83,1
Harbour_crab,33.62,1
Sand_goby,51.33,1
Two_spotted_goby,61.37,1
Common_shore_crab,2.25,8
Golden_grey_mullet,18.7,100
Sand_goby,6.02,4
Harbour_crab,31.66,1
Golden_grey_mullet,3.25,150
Common_shore_crab,17.85,6
Three_spined_stickleback,22.86,1
Sand_goby,46.66,1
Two_spotted_goby,1,1
Golden_grey_mullet,6.22,50
Sand_goby,7.8,3
Common_shore_crab,8.82,10
Sand_smelt,64.3,1
Common_prawn ,43.83,2
Sea_stickleback,47,1
Golden_grey_mullet,1.3,12
Sand_smelt,3.37,3
Common_shore_crab,3.53,14
Common_prawn ,16.42,1
Sand_goby,27.18,3
Sand_smelt,15.13,2
Ballan_wrasse,37.37,1
Golden_grey_mullet,50.66,2
Golden_grey_mullet,5.7,25
Common_shore_crab,20.73,2
Sand_goby,78.65,1
Common_shore_crab,22.32,2
Sand_smelt,28.23,40
Common_shore_crab,21.37,3
Sand_smelt,28.23,1
Sea_stickleback,28.47,1
Sand_smelt,3.72,15
Golden_grey_mullet,6.82,2
Sand_smelt,5.4,2
Common_shore_crab,6.72,2
Common_goby,17.68,15
Flatfish,66.93,1
Sand_smelt,13.7,7
Golden_grey_mullet,15.43,50
Golden_grey_mullet,6.75,3
Common_shore_crab,16.27,12
Common_goby,30.92,1
Sand_goby,51.27,2
Flat_periwinkle,9.08,1
Common_goby,27.25,1
Ballan_wrasse,48.63,1
Sea_stickleback,55.27,1
Common_shrimp,60.58,1
