Date,Exposure,Location,Sand_smelt,Common_shore_crab,Two_spotted_goby,Ballan_wrasse,Sea_stickleback,Sand_goby,Little_squid,Common_prawn ,Bullhead,Flounder,Common_shrimp,Harbour_crab,Golden_grey_mullet,Common_goby,Transparent_goby,Flat_periwinkle,Three_spined_stickleback
24/09/2024,Exposed,Grattan,0,2,10,1,1,1,1,0,0,0,0,0,100,0,0,1,0
25/09/2024,Sheltered,Golf ,0,0,0,0,0,5,0,1,1,1,1,0,3,4,100,0,0
26/09/2024,Sheltered,Golf ,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
09/10/2024,Sheltered,Golf ,0,2,12,0,0,1,0,1,1,0,0,0,0,3,0,0,0
10/10/2024,Sheltered,Golf ,0,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11/10/2024,Exposed,Grattan,0,2,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0
12/10/2024,Sheltered,Mutton,0,8,0,0,0,4,0,0,0,0,0,1,100,0,0,0,0
13/10/2024,Sheltered,Mutton,0,6,0,0,0,1,0,0,0,0,0,0,150,0,0,0,1
13/10/2024,Exposed,Grattan,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/10/2024,Sheltered,Golf ,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
23/10/2024,Sheltered,Mutton,0,12,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0
29/10/2024,Sheltered,Mutton,1,10,1,0,1,3,0,2,0,0,0,0,50,0,0,0,0
29/10/2024,Exposed,Grattan,2,2,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0
30/10/2024,Sheltered,Mutton,3,14,0,0,0,3,0,1,0,0,0,0,12,0,0,0,0
30/10/2024,Exposed,Jungle,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
13/11/2024,Exposed,Jungle,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
13/11/2024,Exposed,Grattan,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15/11/2024,Exposed,Jungle,7,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
16/11/2024,Exposed,Jungle,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
10/12/2024,Exposed,Jungle,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
